"x","y","year","season","pres"
761.111111111111,822.222222222222,11,"Spring",1
1780,446.25,12,"Spring",1
914.0625,1023.4375,12,"Spring",1
931.481481481482,1022.22222222222,13,"Autumn",1
1752.81690140845,435.915492957746,13,"Autumn",1
1731.25,443.75,14,"Spring",1
969.148936170213,1028.72340425532,14,"Spring",1
1410,283.333333333333,15,"Spring",1
1828.57142857143,228.571428571429,15,"Spring",1
685.294117647059,1020.58823529412,15,"Spring",1
2086.84210526316,539.473684210526,15,"Spring",1
840,650,15,"Spring",1
1212.5,1037.5,15,"Spring",1
1619.23076923077,719.230769230769,15,"Spring",1
1131.81818181818,1368.18181818182,15,"Spring",1
2487.5,593.75,1,"Autumn",1
2212.5,856.25,1,"Autumn",1
2150,250,1,"Autumn",1
1826.47058823529,244.117647058824,1,"Autumn",1
1914.70588235294,702.941176470588,1,"Autumn",1
2478.57142857143,214.285714285714,1,"Autumn",1
2015,830,1,"Spring",1
2455.55555555556,683.333333333333,1,"Spring",1
2410,220,1,"Spring",1
1911.90476190476,278.571428571429,1,"Spring",1
2460.52631578947,234.210526315789,2,"Spring",1
1935,225,2,"Spring",1
1997.36842105263,828.947368421053,2,"Spring",1
2438.23529411765,720.588235294118,2,"Spring",1
2241.66666666667,763.888888888889,3,"Autumn",1
2133.78378378378,247.297297297297,3,"Autumn",1
2193.24324324324,768.918918918919,3,"Spring",1
2182.5,237.5,3,"Spring",1
1992.85714285714,878.571428571429,4,"Spring",1
2416.66666666667,133.333333333333,4,"Spring",1
2380,830,4,"Spring",1
2016.66666666667,438.888888888889,4,"Spring",1
1812.5,112.5,4,"Spring",1
2583.33333333333,516.666666666667,4,"Spring",1
2194.11764705882,782.352941176471,5,"Autumn",1
2186.36363636364,234.848484848485,5,"Autumn",1
2183.33333333333,900,7,"Autumn",1
2030,410,7,"Autumn",1
1866.66666666667,850,7,"Autumn",1
2465.38461538462,173.076923076923,7,"Autumn",1
1875,87.5,7,"Autumn",1
2533.33333333333,658.333333333333,7,"Autumn",1
2445.2380952381,250,8,"Autumn",1
1927.27272727273,231.818181818182,8,"Autumn",1
1986.36363636364,781.818181818182,8,"Autumn",1
2423.68421052632,723.684210526316,8,"Autumn",1
2566.66666666667,433.333333333333,8,"Spring",1
2396.15384615385,788.461538461538,8,"Spring",1
1981.25,856.25,8,"Spring",1
2016.66666666667,438.888888888889,8,"Spring",1
1840.90909090909,131.818181818182,8,"Spring",1
2358.33333333333,125,8,"Spring",1
1940.90909090909,227.272727272727,9,"Autumn",1
2450,250,9,"Autumn",1
2423.68421052632,723.684210526316,9,"Autumn",1
1993.47826086957,780.434782608696,9,"Autumn",1
2035,835,9,"Spring",1
2507.14285714286,692.857142857143,9,"Spring",1
1892.85714285714,242.857142857143,9,"Spring",1
2442.85714285714,164.285714285714,9,"Spring",1
1996.66666666667,870,10,"Autumn",1
2383.33333333333,800,10,"Autumn",1
2565.38461538462,450,10,"Autumn",1
2358.33333333333,125,10,"Autumn",1
1850,140.909090909091,10,"Autumn",1
2050,450,10,"Autumn",1
1923.91304347826,289.130434782609,10,"Spring",1
2426.47058823529,191.176470588235,10,"Spring",1
2060,855,10,"Spring",1
2485.29411764706,638.235294117647,10,"Spring",1
2570,410,12,"Autumn",1
2012.5,875,12,"Autumn",1
2426.92307692308,765.384615384615,12,"Autumn",1
2019.23076923077,450,12,"Autumn",1
1850,120,12,"Autumn",1
2358.33333333333,125,12,"Autumn",1
2230,745,13,"Autumn",1
2122.09302325581,240.697674418605,13,"Autumn",1
2180.95238095238,245.238095238095,13,"Spring",1
2206.75675675676,766.216216216216,13,"Spring",1
2182.5,237.5,14,"Spring",1
2193.24324324324,768.918918918919,14,"Spring",1
2177.08333333333,256.25,15,"Autumn",1
2180.23255813953,740.697674418605,15,"Autumn",1
775,650,1,"Spring",1
683.333333333333,450,1,"Spring",1
987.5,912.5,1,"Spring",1
496.153846153846,1319.23076923077,1,"Spring",1
150,1300,1,"Spring",1
675,987.5,1,"Spring",1
450,578.571428571429,1,"Spring",1
192.857142857143,935.714285714286,1,"Spring",1
164.285714285714,678.571428571429,1,"Spring",1
1050,1333.33333333333,1,"Spring",1
166.666666666667,1333.33333333333,2,"Autumn",1
1078.57142857143,1271.42857142857,2,"Autumn",1
733.333333333333,566.666666666667,2,"Autumn",1
966.666666666667,800,2,"Autumn",1
675,1400,2,"Autumn",1
416.666666666667,600,2,"Autumn",1
122.727272727273,822.727272727273,2,"Autumn",1
550,1050,2,"Autumn",1
754.545454545455,631.818181818182,2,"Spring",1
244.736842105263,713.157894736842,2,"Spring",1
250,1300,2,"Spring",1
980.434782608696,1271.73913043478,2,"Spring",1
255.882352941176,744.117647058824,3,"Autumn",1
930,1270,3,"Autumn",1
728.947368421053,607.894736842105,3,"Autumn",1
297.368421052632,1265.78947368421,3,"Autumn",1
570,1050,3,"Spring",1
985.294117647059,1338.23529411765,3,"Spring",1
650,571.052631578947,3,"Spring",1
206.25,743.75,3,"Spring",1
203.333333333333,1330,3,"Spring",1
1000,862.5,3,"Spring",1
525,541.666666666667,4,"Autumn",1
135.714285714286,692.857142857143,4,"Autumn",1
650,1316.66666666667,4,"Autumn",1
1100,1310,4,"Autumn",1
861.111111111111,616.666666666667,4,"Autumn",1
150,1392.85714285714,4,"Autumn",1
635.714285714286,1335.71428571429,4,"Spring",1
650,537.5,4,"Spring",1
137.5,1362.5,4,"Spring",1
1025,825,4,"Spring",1
177.272727272727,704.545454545455,4,"Spring",1
1090,1330,4,"Spring",1
268.75,706.25,5,"Autumn",1
950,1283.33333333333,5,"Autumn",1
744.117647058824,597.058823529412,5,"Autumn",1
292.857142857143,1300,5,"Autumn",1
572.727272727273,1077.27272727273,5,"Spring",1
187.5,1400,5,"Spring",1
1035.71428571429,1314.28571428571,5,"Spring",1
525,541.666666666667,5,"Spring",1
135.714285714286,692.857142857143,5,"Spring",1
861.111111111111,616.666666666667,5,"Spring",1
465.151515151515,653.030303030303,6,"Spring",1
710,1310,6,"Spring",1
740,530,7,"Autumn",1
70,1310,7,"Autumn",1
983.333333333333,750,7,"Autumn",1
750,1450,7,"Autumn",1
1110,1290,7,"Autumn",1
300,1450,7,"Autumn",1
138.888888888889,727.777777777778,7,"Autumn",1
462.5,562.5,7,"Autumn",1
187.5,1400,7,"Spring",1
564.285714285714,1057.14285714286,7,"Spring",1
625,512.5,7,"Spring",1
1170,1210,7,"Spring",1
850,607.142857142857,7,"Spring",1
966.666666666667,1433.33333333333,7,"Spring",1
364.285714285714,578.571428571429,7,"Spring",1
90,730,7,"Spring",1
710.714285714286,653.571428571429,8,"Autumn",1
942.857142857143,1242.85714285714,8,"Autumn",1
216.666666666667,797.619047619048,8,"Autumn",1
297.826086956522,1289.13043478261,8,"Autumn",1
300,662.5,8,"Spring",1
130,1320,8,"Spring",1
930,1390,8,"Spring",1
470,1430,8,"Spring",1
887.5,737.5,8,"Spring",1
735.714285714286,478.571428571429,8,"Spring",1
1116.66666666667,1161.11111111111,8,"Spring",1
105.555555555556,850,8,"Spring",1
600,900,8,"Spring",1
521.428571428571,564.285714285714,8,"Spring",1
531.818181818182,659.090909090909,9,"Autumn",1
371.052631578947,1244.73684210526,9,"Autumn",1
120,1290,9,"Spring",1
687.5,525,9,"Spring",1
650,1450,9,"Spring",1
235.714285714286,642.857142857143,9,"Spring",1
250,1412.5,10,"Spring",1
750,550,10,"Spring",1
70,1210,10,"Spring",1
870,730,10,"Spring",1
290,620,10,"Spring",1
550,475,10,"Spring",1
730,1430,10,"Spring",1
700,1050,10,"Spring",1
83.3333333333333,800,10,"Spring",1
478.571428571429,1050,10,"Spring",1
484.48275862069,574.137931034483,11,"Autumn",1
330,1343.33333333333,11,"Autumn",1
710,1030,11,"Spring",1
800,1450,11,"Spring",1
550,1125,11,"Spring",1
583.333333333333,583.333333333333,11,"Spring",1
90,730,11,"Spring",1
800,450,11,"Spring",1
250,1450,11,"Spring",1
75,1350,11,"Spring",1
450,1000,11,"Spring",1
410,530,11,"Spring",1
716.666666666667,616.666666666667,11,"Spring",1
300,650,11,"Spring",1
600,400,11,"Spring",1
200,550,11,"Spring",1
900,650,11,"Spring",1
850,550,11,"Spring",1
419.230769230769,1229.48717948718,13,"Autumn",1
509.090909090909,659.090909090909,13,"Autumn",1
75,1175,13,"Spring",1
900,725,13,"Spring",1
570,610,13,"Spring",1
733.333333333333,1033.33333333333,13,"Spring",1
450,1450,13,"Spring",1
470,450,13,"Spring",1
783.333333333333,583.333333333333,13,"Spring",1
262.5,637.5,13,"Spring",1
566.666666666667,1166.66666666667,13,"Spring",1
83.3333333333333,800,13,"Spring",1
775,1425,13,"Spring",1
416.666666666667,1016.66666666667,13,"Spring",1
725,425,13,"Spring",1
150,1400,13,"Spring",1
620.588235294118,1202.94117647059,14,"Spring",1
223.684210526316,713.157894736842,14,"Spring",1
697.619047619048,573.809523809524,14,"Spring",1
157.692307692308,1311.53846153846,14,"Spring",1
529.166666666667,679.166666666667,15,"Autumn",1
448,1218,15,"Autumn",1
116.666666666667,1383.33333333333,15,"Spring",1
759.090909090909,540.909090909091,15,"Spring",1
430,1330,15,"Spring",1
750,978.571428571429,15,"Spring",1
440.909090909091,531.818181818182,15,"Spring",1
121.428571428571,692.857142857143,15,"Spring",1
533.333333333333,916.666666666667,15,"Spring",1
800,1450,15,"Spring",1
337.5,1062.5,15,"Spring",1
700,1183.33333333333,15,"Spring",1
